iter	MAPE	RMSE	R2	MAE
365	0.3193153859	618157.8491	0.9311092966	274244.9435
366	0.3190578468	616468.4361	0.9314853359	273942.6142
367	0.3189754529	615023.2637	0.931806194	273778.3704
368	0.3185310757	614029.5343	0.9320263855	273540.9002
369	0.3184197141	612806.0069	0.9322970067	273378.0419
370	0.317900613	611837.3721	0.9325108677	273055.5192
371	0.3176793594	610954.9124	0.9327054079	272916.8512
372	0.3176258616	609867.9703	0.9329446408	272646.9305
373	0.3172123669	608753.7799	0.9331894288	272289.2471
374	0.3167849041	607097.9556	0.9335523871	271797.9785
375	0.3163487496	605758.0035	0.9338453822	271450.4821
376	0.316565982	604651.5628	0.9340868295	271301.3391
377	0.3161709292	603916.6175	0.9342469652	271080.3787
378	0.3159757864	602808.5624	0.9344880287	270668.6127
379	0.3158150274	601067.2777	0.9348659604	270335.2279
380	0.3153605798	600142.7136	0.9350661852	269987.7258
381	0.3154309186	599966.9425	0.9351042155	269966.1486
382	0.3150409915	598402.8918	0.9354421275	269613.2335
383	0.3152109877	597427.1092	0.9356524977	269484.6344
384	0.3152175418	597345.0177	0.9356701803	269478.3836
385	0.314839364	595796.5299	0.9360032703	269060.5998
386	0.3144840576	594308.4846	0.9363225441	268663.0202
387	0.3144324188	593704.4302	0.9364519217	268609.7285
388	0.3140782427	593116.6164	0.9365776945	268496.5516
389	0.3140821609	592920.244	0.936619684	268480.0305
390	0.3138280152	591925.0568	0.9368322669	268093.7696
391	0.3136607117	590480.3624	0.9371402339	267831.4776
392	0.3136197734	589530.3906	0.9373423303	267737.5707
393	0.3132491268	588367.8916	0.9375891968	267523.9943
394	0.3129983294	587528.365	0.9377671744	267292.5666
395	0.3128881873	587269.0314	0.9378221011	267165.8762
396	0.3128905639	587193.9456	0.9378379998	267160.4477
397	0.3128445588	586105.6315	0.9380682102	266997.1623
398	0.3127559527	585880.541	0.9381157701	266912.1779
399	0.3126510336	584935.7279	0.9383152029	266773.9387
400	0.3125529152	584091.9009	0.9384930472	266686.2806
401	0.3121953469	582974.4908	0.9387281566	266383.6081
402	0.3121914733	582900.3311	0.9387437443	266375.513
403	0.3121465792	582344.3667	0.9388605398	266350.9914
404	0.3116789501	581450.1689	0.9390481566	265963.908
405	0.3112502125	580062.6656	0.9393387059	265608.8139
406	0.3107270363	579180.4431	0.9395230862	265239.048
407	0.3109451804	578334.6566	0.9396995881	265123.793
408	0.3101918718	577482.1356	0.9398772343	264722.8353
409	0.3101428948	576676.9391	0.9400447785	264497.0562
410	0.309895561	575309.3739	0.9403288039	264102.7789
411	0.3100077929	573948.8624	0.9406106952	263840.7148
412	0.3093118933	573203.6419	0.9407648183	263301.0068
413	0.3090287764	571890.869	0.941035833	262991.9753
414	0.3088020492	570907.4995	0.9412384371	262830.2315
415	0.3086930837	570332.104	0.9413568243	262723.4896
416	0.3081618599	569231.1562	0.941583011	262113.1077
417	0.3081187677	568177.2985	0.9417991138	261934.2402
418	0.3078536305	566885.5375	0.9420634544	261640.0663
419	0.3076022546	565663.1585	0.9423130429	261349.8982
420	0.3075305163	565114.8708	0.9424248187	261255.7156
421	0.3072529235	564310.1897	0.9425886674	261009.7416
422	0.3071402297	563130.5668	0.9428284396	260814.8516
423	0.3071433974	562187.9445	0.943019678	260695.4391
424	0.3065437916	560920.9465	0.9432762206	260133.0765
425	0.3064409389	559815.9277	0.9434994931	259948.8614
426	0.3063169851	558906.6915	0.9436828769	259806.6438
427	0.3065289413	558159.8849	0.9438332773	259705.58
428	0.3063262824	557704.5506	0.943924879	259620.2613
429	0.3059723987	557355.5634	0.9439950358	259462.635
430	0.3059911227	556501.202	0.9441666024	259331.1218
431	0.305462493	555614.2579	0.9443444337	258912.5914
432	0.3052480637	554499.8086	0.9445674772	258655.3139
433	0.3048836452	554158.2417	0.9446357481	258487.8238
434	0.3051209211	553460.9876	0.9447749815	258403.6534
435	0.3049506042	552814.6007	0.9449039007	258193.9004
436	0.3046692821	551630.8661	0.9451396012	258002.9781
437	0.3042896775	550289.0896	0.9454061594	257637.423
438	0.3038379929	549556.9695	0.9455513291	257158.4314
439	0.3040587054	548557.7001	0.9457491591	256961.1935
440	0.3038298168	548021.7904	0.9458551073	256770.5297
441	0.30318523	547133.2213	0.9460305473	256357.427
442	0.3030592622	545636.8213	0.9463253547	256016.7766
443	0.3027163009	544391.7217	0.9465700377	255679.0741
444	0.3026176788	543206.7324	0.9468023889	255405.4674
445	0.3025609374	542110.9287	0.947016802	255209.0441
446	0.302186672	541496.6146	0.947136814	254946.2004
447	0.3020965153	540527.4258	0.9473258772	254758.3887
448	0.3019746706	539880.6281	0.947451862	254417.3899
449	0.3019563346	539077.05	0.9476081747	254299.5382
450	0.3017677426	538495.4138	0.9477211699	254086.598
451	0.3011029882	537932.3216	0.9478304462	253581.9347
452	0.3013284859	537269.861	0.9479588601	253485.1271
453	0.3008541295	536646.1838	0.9480796115	252962.0594
454	0.3004001284	535593.614	0.9482830835	252379.243
455	0.3002089871	534546.0442	0.9484851923	252190.9144
456	0.3000177394	533595.6005	0.9486682201	251962.2819
457	0.2998864426	533112.0177	0.9487612191	251838.3871
