iter	Passed	Remaining
414	2499	27609
415	2502	27580
416	2506	27549
417	2510	27517
418	2514	27492
419	2518	27464
420	2522	27437
421	2526	27409
422	2530	27379
423	2534	27349
424	2537	27317
425	2541	27284
426	2545	27256
427	2548	27223
428	2552	27193
429	2555	27164
430	2559	27134
431	2563	27103
432	2566	27072
433	2570	27042
434	2574	27013
435	2577	26983
436	2582	26965
437	2587	26952
438	2593	26942
439	2596	26912
440	2600	26884
441	2605	26866
442	2608	26837
443	2612	26808
444	2616	26778
445	2619	26751
446	2623	26721
447	2627	26696
448	2631	26672
449	2635	26646
450	2639	26618
451	2642	26593
452	2646	26566
453	2650	26538
454	2653	26507
455	2657	26479
456	2661	26456
457	2667	26457
458	2672	26439
459	2676	26414
460	2680	26389
461	2684	26364
462	2687	26337
463	2691	26312
464	2695	26285
465	2699	26260
466	2703	26237
467	2707	26216
468	2710	26190
469	2714	26165
470	2718	26139
471	2724	26135
472	2730	26133
473	2737	26137
474	2745	26154
475	2750	26144
476	2756	26137
477	2764	26152
478	2770	26145
479	2774	26128
480	2779	26111
481	2784	26095
482	2792	26111
483	2796	26093
484	2803	26100
485	2808	26088
486	2813	26074
487	2817	26052
488	2824	26055
489	2830	26047
490	2835	26036
491	2841	26031
492	2845	26015
493	2850	26001
494	2854	25982
495	2859	25964
496	2864	25949
497	2868	25934
498	2873	25919
499	2878	25904
500	2884	25903
501	2888	25885
502	2893	25865
503	2897	25846
504	2901	25828
505	2906	25816
506	2910	25796
507	2916	25790
508	2922	25785
509	2928	25782
510	2933	25772
511	2939	25769
512	2943	25746
513	2947	25727
514	2952	25711
515	2956	25690
516	2960	25670
517	2964	25650
518	2968	25631
519	2972	25612
520	2976	25589
521	2980	25571
522	2984	25546
523	2988	25526
524	2993	25519
525	2998	25501
526	3001	25479
527	3005	25453
528	3008	25431
529	3012	25406
530	3016	25383
531	3019	25360
532	3023	25342
533	3027	25321
534	3031	25301
535	3035	25281
536	3039	25261
537	3043	25239
538	3051	25252
539	3054	25226
540	3057	25204
541	3061	25180
542	3065	25158
